site,product_id,details,actual_price,our_price,discount,percentage,availability,date
amazon,B000GIURIQ,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 2 lbs, 907 g (Delicious Strawberry)",3699.0,2996.0,703.0,19.0,True,19-Dec-2018 14:20:48
amazon,B000GISU1M,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 5 lbs, 2.27 kg (Vanilla Ice Cream)",0,0,0,0,True,19-Dec-2018 14:20:58
amazon,B078N8HR35,Protinex Vanilla Delight - 400 g,520.0,518.0,2.0,0.0,True,19-Dec-2018 14:21:10
amazon,B071JXSRQH,Carbamide Forte Cimvus Fresh-Plus Easily Absorbed Calcium + Extra Vitamin D3 & Vitamin B12 Supplements 60 Tablet,708.0,396.0,312.0,44.0,True,19-Dec-2018 14:21:17
flipkart,https://www.flipkart.com/nike-dart-12-msl-running-shoes-men/p/itmf3xw5rkxhkpj7,Nike DART 12 MSL Running Shoes For Men,4295.0,4295.0,0,0,True,19-Dec-2018 14:24:23
flipkart,https://www.flipkart.com/whirlpool-265-l-frost-free-double-door-2-star-refrigerator/p/itmf3hzzgct5dmun,Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,23970.0,20440.0,3355.8,14.0,True,19-Dec-2018 14:24:32
flipkart,https://www.flipkart.com/adidas-solid-men-black-sports-shorts/p/itmf7dyzwneksjgc,ADIDAS Solid Men Black Sports Shorts,1499.0,899.0,599.6,40.0,True,19-Dec-2018 14:24:34
flipkart,https://www.flipkart.com/nike-zoom-span-2-running-shoes-men/p/itmf3xvqrcavdzhw,Nike ZOOM SPAN 2 Running Shoes For Men,8495.0,4587.0,3907.7,46.0,True,19-Dec-2018 14:24:39
amazon,B07D8VBYB4,Sujata Powermatic Plus + CH 900-Watt Juicer Mixer Grinder (White),6255.0,5240.0,1015.0,16.0,True,19-Dec-2018 14:24:51
amazon,B075JLZ1GF,"Spacewood Joy Queen Size Bed (Woodpore Finish, Natural Wenge)",26128.0,11999.0,14129.0,54.0,True,19-Dec-2018 14:25:09
amazon,B076CHMZQT,NIKE Men's Flex 2017 Rn Blue Running Shoes,0,0,0,0,False,19-Dec-2018 14:25:16
amazon,B078HGLZ95,NIKE Men's Grey Ck Racer 2 Sports Running Shoes (AA2179-002),5995.0,5095.75,899.25,15.0,True,19-Dec-2018 14:25:27
amazon,B0772GP9D7,Men's bicycle Short,1599.0,1599.0,0,0,True,19-Dec-2018 14:25:42
amazon,B01NBWMH1X,Santic Cycling Shorts Biking Bicycle Bike Shorts Black Padded,12670.0,10287.86,2382.14,19.0,True,19-Dec-2018 14:25:52
amazon,B01FMZKHQ4,"Sunline Alaska Deep Sea Fish Oil Omega 3 - 100 Softgels, 1000 Mg",999.0,449.0,550.0,55.0,True,19-Dec-2018 14:26:03
amazon,B06XPB6LDJ,"Azani Mens Compression Tights. Sports Baselayer Leggings. Ideal for Running, Gym, Cycling, Yoga & More. Cool Dry Compression Sports Pants - Anthracite Black",1300.0,895.0,0,0,True,19-Dec-2018 14:26:16
amazon,B000GIURIQ,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 2 lbs, 907 g (Delicious Strawberry)",3699.0,2996.0,703.0,19.0,True,19-Dec-2018 14:26:31
amazon,B000GISU1M,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - 5 lbs, 2.27 kg (Vanilla Ice Cream)",0,0,0,0,True,19-Dec-2018 14:26:41
amazon,B078N8HR35,Protinex Vanilla Delight - 400 g,520.0,518.0,2.0,0.0,True,19-Dec-2018 14:26:52
amazon,B071JXSRQH,Carbamide Forte Cimvus Fresh-Plus Easily Absorbed Calcium + Extra Vitamin D3 & Vitamin B12 Supplements 60 Tablet,708.0,396.0,312.0,44.0,True,19-Dec-2018 14:27:03
flipkart,https://www.flipkart.com/nike-dart-12-msl-running-shoes-men/p/itmf3xw5rkxhkpj7,DART 12 MSL Running Shoes For Men,4295.0,3042.0,0,0,True,20-Dec-2018 21:49:38
flipkart,https://www.flipkart.com/whirlpool-265-l-frost-free-double-door-2-star-refrigerator/p/itmf3hzzgct5dmun,Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,23970.0,20440.0,3355.8,14.0,True,20-Dec-2018 21:49:40
flipkart,https://www.flipkart.com/adidas-solid-men-black-sports-shorts/p/itmf7dyzwneksjgc,Solid Men Black Sports Shorts,1499.0,942.0,0,0,True,20-Dec-2018 21:49:42
flipkart,https://www.flipkart.com/nike-zoom-span-2-running-shoes-men/p/itmf3xvqrcavdzhw,ZOOM SPAN 2 Running Shoes For Men,8495.0,4813.0,0,0,True,20-Dec-2018 21:49:45
